feature_id,domain,hufmanager_feature,hufmanager_status,source_location,historical_evidence,hufiapp_status,hufiapp_location,gap_type,user_value_0_5,domain_uniqueness_0_5,migration_effort_1_5,loss_risk_0_5,cross_profession_reuse_0_5,recommended_hufi_module,recommendation,evidence_level,open_question
K1,Kundenverwaltung,Kundenanlage/-verwaltung mit Filter und Export,live,src/pages/Kunden.tsx,none,live (identical code),src/pages/Kunden.tsx,A,5,1,1,5,5,Workspace-Kernmodul: Kunden & Pferde,Beibehalten und als Kernmodul fuehren,nachgewiesen,none
K2,Kundenverwaltung,Preisgruppen VIP/Grossstall/Individuell,teilweise (Backend live UI verwaist),src/pages/PriceGroupManagement.tsx;PRICE_GROUPS_GUIDE.md,HUFI_ROADMAP.md Schritt 15 Attrappen-Triage,identisch,src/pages/PriceGroupManagement.tsx,C,4,3,2,3,4,Unterbereich Kunden & Pferde,UI wieder anbinden statt eigener Seite,nachgewiesen,Gibt es aktive Preisgruppen-Zuordnungen im Bestand?
K3,Kundenverwaltung,Betreuungsverhaeltnis start/pause/beenden statt Hard-Delete,gebaut laut Doku Deploy-Status unklar,src/components/customers/CustomerDetailModal.tsx,HUFI_TODO.md 27.07.2026,ungeprueft,vermutlich identisch,G,5,2,2,4,5,Unterbereich Kunden & Pferde,Deploy-Status vor Weiterarbeit verifizieren,wahrscheinlich,Ist der Fix tatsaechlich live?
K4,Kundenverwaltung,Archivierte Kunden fallen aus Liste,bekannter Bug,src/pages/Kunden.tsx:191-196,HUFI_TODO.md,identisch,src/pages/Kunden.tsx,B,2,1,1,1,3,Kunden & Pferde,Kleiner Bugfix,nachgewiesen,none
K5,Kundenverwaltung,Kommunikationshistorie am Kunden,schmal,src/components/communication/DraftMessageCard.tsx,none,identisch,gleiche Datei,B,3,1,3,2,4,Anfragen & Nachrichten,Bei Neuaufbau ausbauen,nachgewiesen,none
P1,Pferde und Pferdeakten,Vollstaendige Pferdeakte Gesundheit/Futter/Bewegung/Vet/Tresor/Timeline,live,src/components/pferdeakte/*,none,identisch,src/components/pferdeakte/*,A,5,4,1,5,5,Kunden & Pferde,Kernstueck unbedingt erhalten,nachgewiesen,none
P2,Pferde und Pferdeakten,Mehrfachzugriff Partner/Team mit Medizin-Freigabestufe,live,src/components/horse-detail/HorsePartnerPanel.tsx;horse_partner_access,none,identisch,gleiche Dateien,A,4,4,1,4,5,Kunden & Pferde,Modell ist bereits berufsuebergreifend brauchbar,nachgewiesen,none
P3,Pferde und Pferdeakten,Drei parallele Pferdeseiten-Implementierungen horse-detail/horse-profile/horse-page,alle drei vorhanden Verhaeltnis unklar,src/components/horse-detail;src/components/horse-profile;src/components/horse-page,none,identisch (gleicher Code),gleiche Verzeichnisse,G,3,1,4,2,3,Kunden & Pferde,Vor Weiterbau klaeren welche Version aktiv ist,nachgewiesen (Existenz); unklar (Nutzung),Welche der drei Implementierungen ist tatsaechlich verdrahtet?
P4,Pferde und Pferdeakten,Notfall-QR/Notfalltoken,live security-gehaertet,src/pages/NotfallZugang.tsx;src/components/pferdeakte/EmergencyQRCode.tsx,AUDIT_REPORT.md Fund 6 gefixt 18.07.2026,identisch,gleiche Dateien,A,4,3,1,4,5,Kunden & Pferde,Beibehalten gut fuer berufsuebergreifende Notfallgabe,nachgewiesen,none
P5,Pferde und Pferdeakten,Statusberichte durch Dritte - Besitzer sieht nur eigene Eintraege,vermuteter Bug U-4 im Audit offen,horse_status_reports (Tabelle),AUDIT_REPORT.md U-4,identisch,gleiche Tabelle,G,2,1,2,2,3,Kunden & Pferde,Fachlich klaeren ob gewollt,nachgewiesen (Befund); ungeklaert (Absicht),Ist die eingeschraenkte Sichtbarkeit gewollt?
